subj_id,seed,sona_experiment_code,experimenter,cue_contrast,block,trial,mask_type,cue_type,cue_validity,cue_dir,target_loc,soa,target_loc_x,target_loc_y,rt,response_type,is_correct
SPC314,314,SPC,DZ,word_arrow,0,0,nomask,visual_arrow,neutral,neutral,right,0.175,224.152377962,22.5123307662,1925.37602468,right,1
SPC314,314,SPC,DZ,word_arrow,0,1,nomask,visual_arrow,valid,right,right,0.175,243.852063721,52.8551654594,1609.20864367,right,1
SPC314,314,SPC,DZ,word_arrow,0,2,nomask,visual_word,valid,left,left,0.175,-239.667062735,-48.8307542386,834.346201969,left,1
SPC314,314,SPC,DZ,word_arrow,0,3,nomask,visual_arrow,neutral,neutral,left,0.175,-215.499911209,-18.5451440751,2116.6535964,timeout,0
SPC314,314,SPC,DZ,word_arrow,0,4,nomask,visual_word,valid,right,right,0.175,177.279615531,6.13304150868,586.128298077,right,1
SPC314,314,SPC,DZ,word_arrow,0,5,nomask,visual_word,valid,right,right,0.175,203.858158209,39.2389606836,707.889556536,right,1
SPC314,314,SPC,DZ,word_arrow,0,6,nomask,visual_arrow,valid,left,left,0.175,-250.989644945,-51.1334421338,760.973455035,left,1
SPC314,314,SPC,DZ,word_arrow,0,7,nomask,visual_arrow,invalid,right,up,0.175,-30.7704205859,215.35871986,724.113273085,up,1
SPC314,314,SPC,DZ,word_arrow,0,8,nomask,visual_arrow,valid,right,right,0.175,198.268062483,-12.3405626445,440.532564302,right,1
SPC314,314,SPC,DZ,word_arrow,0,9,nomask,visual_arrow,valid,right,right,0.175,265.984065318,40.3069445014,528.279873077,right,1
SPC314,314,SPC,DZ,word_arrow,0,10,nomask,visual_word,valid,right,right,0.175,246.287316494,41.5625239833,628.736320185,right,1
SPC314,314,SPC,DZ,word_arrow,0,11,nomask,visual_word,valid,right,right,0.175,210.99753954,21.5841756161,412.801323924,right,1
SPC314,314,SPC,DZ,word_arrow,0,12,nomask,visual_arrow,invalid,left,down,0.175,-28.7750654965,-193.518420338,621.864006855,down,1
SPC314,314,SPC,DZ,word_arrow,0,13,nomask,visual_arrow,valid,left,left,0.175,-259.768265272,-11.9462666096,358.623680891,left,1
SPC314,314,SPC,DZ,word_arrow,0,14,nomask,visual_word,valid,right,right,0.175,209.536657692,-48.3134863421,417.736137751,right,1
SPC314,314,SPC,DZ,word_arrow,1,15,nomask,visual_word,valid,right,right,0.175,239.575083712,-32.0299804133,450.884566177,right,1
SPC314,314,SPC,DZ,word_arrow,1,16,nomask,visual_arrow,valid,left,left,0.175,-230.527688952,-47.4363737949,370.286127669,left,1
SPC314,314,SPC,DZ,word_arrow,1,17,nomask,visual_word,valid,right,right,0.175,221.547469843,-12.6077660435,356.724592159,right,1
SPC314,314,SPC,DZ,word_arrow,1,18,nomask,visual_word,valid,right,right,0.175,254.597158465,-22.9969555861,407.743275748,right,1
SPC314,314,SPC,DZ,word_arrow,1,19,nomask,visual_word,valid,left,left,0.175,-273.930576239,38.8887619779,328.847711091,left,1
SPC314,314,SPC,DZ,word_arrow,1,20,nomask,visual_arrow,invalid,left,down,0.175,8.4216021135,-198.594750691,461.261855206,down,1
SPC314,314,SPC,DZ,word_arrow,1,21,nomask,visual_word,valid,right,right,0.175,262.245544006,14.1707961561,499.992958037,right,1
SPC314,314,SPC,DZ,word_arrow,1,22,nomask,visual_word,valid,right,right,0.175,228.996135945,43.3119189854,425.440042512,right,1
SPC314,314,SPC,DZ,word_arrow,1,23,nomask,visual_arrow,invalid,left,up,0.175,27.9090769774,184.11288274,633.851024206,up,1
SPC314,314,SPC,DZ,word_arrow,1,24,nomask,visual_arrow,invalid,left,right,0.175,191.943512423,-7.5081283003,441.941596568,right,1
SPC314,314,SPC,DZ,word_arrow,1,25,nomask,visual_arrow,invalid,left,right,0.175,209.287859127,-47.9917911102,417.690044967,right,1
SPC314,314,SPC,DZ,word_arrow,1,26,nomask,visual_word,valid,right,right,0.175,215.874408944,20.439756547,306.451075943,right,1
SPC314,314,SPC,DZ,word_arrow,1,27,nomask,visual_word,valid,left,left,0.175,-168.183564222,-12.010275793,583.50772853,left,1
SPC314,314,SPC,DZ,word_arrow,1,28,nomask,visual_arrow,valid,left,left,0.175,-250.360364188,-44.7940747686,1081.598397,left,1
SPC314,314,SPC,DZ,word_arrow,1,29,nomask,visual_word,invalid,right,left,0.175,-262.226939495,41.1937862736,447.707361658,left,1
