subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	0	0					False	1	right	220.952785742	-11.1918973072	0.6	0.083	975.421136245	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	1	0					False	1	right	199.583889427	-12.5935737339	0.6	0.083	587.716042995	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	2	0					False	1	right	202.742351068	1.85538105573	0.6	0.083	437.861623242	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	3	0					False	1	right	177.162545093	15.7955611475	0.6	0.083	438.221301883	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	4	0					False	1	left	-204.13580495	-0.50961404695	0.6	0.083	504.775401205	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	5	0					False	1	left	-190.620791498	16.9863651575	0.6	0.083	453.678997234	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	6	0					False	1	left	-193.74554548	18.1356076452	0.6	0.083	521.708682179	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	7	0					False	1	right	185.824232048	17.1477753363	0.6	0.083	384.820083156	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	8	0					False	1	left	-201.619333939	-8.22980922264	0.6	0.083	767.483249307	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	practice	9	0					False	1	left	-189.396975359	5.14483689286	0.6	0.083	317.666396499	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	0	1	frame	right	200	0	False	1	right	202.306565295	-21.5825388982	0.6	0.083	1004.94991429	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	1	0					False	1	left	-223.148994424	-1.91129015364	0.6	0.083	486.86574772	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	2	1	sound	left			False	1	left	-199.864143761	0.965045433314	0.6	0.083	546.747595072	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	3	1	sound	right			False	1	right	220.372651542	-20.3372192804	0.6	0.083	373.099440709	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	4	0					False	1	left	-215.724506536	19.1334055744	0.6	0.083	342.813668773	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	5	1	frame	right	200	0	False	1	right	178.912896133	-3.6102354257	0.6	0.083	360.762482509	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	6	1	frame	left	-200	0	False	1	left	-223.106223903	8.08382699481	0.6	0.083	352.944284678	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	7	1	frame	right	200	0	False	1	right	188.44499303	-6.95318266644	0.6	0.083	340.003179386	 	go	1	0.1
SPC604	2015_May_07_0925	LL-Jerry	PME	cueing_effect	8	1	sound	right			False	1	right	193.835141948	21.4413099148	0.6	0.083	337.226146832	 	go	1	0.1
