subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	28	1	sound	left			False	1	left	-210.367681248	4.99041561386	0.6	0.083	322.10875029	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	29	0					False	1	left	-212.593136482	11.3459662105	0.6	0.083	313.834584536	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	30	1	frame	right	200	0	False	1	right	199.217793005	-4.54421286628	0.6	0.083	319.423350695	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	31	1	frame	left	-200	0	False	1	left	-186.489274475	-4.47249591878	0.6	0.083	344.621343844	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	32	0					False	1	right	190.589191773	-18.9439297694	0.6	0.083	310.999454494	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	33	1	sound	right			False	1	right	199.772064897	-10.1095683117	0.6	0.083	318.242273977	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	34	1	sound	right			False	0					0.083	1079.85349813		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	35	1	frame	right	200	0	False	0					0.083	1086.12190007		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	36	1	frame	right	200	0	False	1	right	193.573030229	9.3784913265	0.6	0.083	334.883017262	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	37	0					False	1	left	-217.227773873	17.3188446032	0.6	0.083	359.785838707	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	38	1	frame	left	-200	0	False	1	left	-193.514363141	5.78585678304	0.6	0.083	361.09481017	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	39	1	frame	right	200	0	False	1	right	197.910504439	-21.8322151387	0.6	0.083	318.637265955	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	40	1	sound	right			False	1	right	186.934607253	-15.1397058386	0.6	0.083	285.416217448	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	41	1	sound	right			False	1	right	182.228230076	21.6772601792	0.6	0.083	288.352337535	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	42	1	sound	left			False	1	left	-212.038009277	21.7791538323	0.6	0.083	335.545496404	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	43	1	sound	left			False	1	left	-196.227709186	-15.7696077915	0.6	0.083	324.723963771	 	go	1	0.1
