subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	27	1	sound	right			False	1	right	209.649293105	-11.9725467153	0.6	0.083	286.113009817	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	28	1	sound	left			False	1	left	-222.392012255	3.08494859881	0.6	0.083	310.214539524	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	29	0					False	1	right	199.297384859	-15.0550435802	0.6	0.083	362.449402615	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	30	1	frame	right	200	0	False	1	right	197.050371294	5.57208884457	0.6	0.083	395.089465877	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	31	1	frame	right	200	0	False	1	right	213.575933242	1.56900348479	0.6	0.083	312.379391937	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	32	1	frame	left	-200	0	False	1	left	-197.94961115	12.256177468	0.6	0.083	287.539738027	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	33	1	frame	right	200	0	False	1	right	178.208851717	2.33102593916	0.6	0.083	262.113639939	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	34	1	sound	left			False	1	left	-215.52773834	-19.2429103034	0.6	0.083	301.557859304	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	35	0					False	1	right	210.570881435	-20.7232666123	0.6	0.083	296.114534416	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	36	0					False	1	right	212.790372026	-6.39755306937	0.6	0.083	335.911634087	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	37	0					False	1	left	-191.992807295	5.12214626715	0.6	0.083	292.878953478	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	38	1	sound	left			False	1	left	-186.207841703	2.60005551927	0.6	0.083	302.777928329	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	39	1	frame	left	-200	0	False	1	left	-215.388381616	-22.859625891	0.6	0.083	319.613243191	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	40	1	sound	left			False	0					0.083	1085.89496488		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	41	0					False	0					0.083	1081.12503699		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	42	1	frame	left	-200	0	False	1	left	-184.036790329	4.99432233195	0.6	0.083	320.286640184	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	43	1	frame	left	-200	0	False	1	left	-196.587031927	15.3499086274	0.6	0.083	278.32000902	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	44	1	sound	left			False	0					0.083	1079.59536913		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	45	0					False	1	left	-184.577087229	-17.1279621831	0.6	0.083	356.329171424	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	46	1	frame	right	200	0	False	1	right	194.098215309	-4.29082517363	0.6	0.083	306.356641493	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	47	1	frame	right	200	0	False	0					0.083	1079.67530334		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	48	1	frame	left	-200	0	False	1	left	-177.916761428	-13.0317721506	0.6	0.083	354.56632961	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	49	1	sound	right			False	0					0.083	1079.31774395		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	50	1	frame	right	200	0	False	0					0.083	1081.54966314		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	51	0					False	1	left	-182.325398159	-15.7801223147	0.6	0.083	436.935610851	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	52	1	frame	left	-200	0	False	1	left	-223.289130466	-21.5541709759	0.6	0.083	309.15823816	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	53	0					False	1	right	219.074464828	11.906151116	0.6	0.083	295.081628428	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	54	0					False	1	left	-211.88263756	-12.8556592582	0.6	0.083	329.789453288	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	55	1	frame	left	-200	0	False	1	left	-190.751969731	13.7394409142	0.6	0.083	227.268562187	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	56	1	frame	right	200	0	False	1	right	205.58168134	22.3955191257	0.6	0.083	279.269081555	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	57	1	frame	right	200	0	False	1	right	185.323059221	-5.67716287285	0.6	0.083	302.512390786	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	58	1	frame	left	-200	0	False	1	left	-204.112073102	13.2669206892	0.6	0.083	318.51171075	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	59	1	sound	left			False	0					0.083	1080.13346285		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	60	1	sound	left			False	1	left	-192.864072036	-6.58563657221	0.6	0.083	369.130732986	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	61	1	frame	left	-200	0	False	1	left	-213.847035335	-19.8005906121	0.6	0.083	338.363469826	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	62	0					False	1	left	-178.706148951	22.0096220241	0.6	0.083	319.22176051	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	63	1	sound	right			False	1	right	222.529280266	15.9855125188	0.6	0.083	302.769739938	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	64	0					False	1	left	-193.848439947	20.4918348405	0.6	0.083	303.768722646	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	65	1	sound	right			False	0					0.083	1082.52758997		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	66	1	frame	left	-200	0	False	1	left	-215.318474425	0.630785959398	0.6	0.083	281.131743672	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	67	1	frame	left	-200	0	False	1	left	-181.279989732	14.4130320716	0.6	0.083	292.528412712	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	68	1	frame	left	-200	0	False	1	left	-202.172493286	-15.2457107603	0.6	0.083	306.709911732	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	69	0					False	1	right	217.108587589	-22.6018147709	0.6	0.083	292.603277921	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	70	1	sound	left			False	1	left	-213.158151403	-20.3437183192	0.6	0.083	310.259380669	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	71	0					False	1	left	-223.158877162	21.922724949	0.6	0.083	284.499508503	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	72	1	sound	right			False	1	right	221.609246106	-9.54423508163	0.6	0.083	296.366034745	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	73	1	frame	left	-200	0	False	1	left	-192.040379382	14.543097407	0.6	0.083	268.637441419	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	74	1	sound	right			False	1	right	217.400548975	-0.198211297541	0.6	0.083	273.247110963	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	75	1	frame	left	-200	0	False	1	left	-204.912229423	15.7761302361	0.6	0.083	260.249808067	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	76	0					False	0					0.083	1086.19910482		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	77	0					False	1	right	189.696036149	-11.8612466936	0.6	0.083	318.247342977	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	78	1	frame	left	-200	0	False	1	left	-219.199957868	16.7079990303	0.6	0.083	275.344506706	 	go	1	0.1
