subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC420	2015_Apr_24_1238	LL-George	wr	practice	0	0					False	1	left	-212.249042385	12.1010529481	0.6	0.083	422.097617949	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	1	0					False	1	left	-218.916021442	22.9595151258	0.6	0.083	1084.85343006		nogo	0
SPC420	2015_Apr_24_1238	LL-George	wr	practice	2	0					False	1	left	-210.360593707	21.535750149	0.6	0.083	551.151418025	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	3	0					False	1	right	188.345080217	-15.2050414571	0.6	0.083	425.620724229	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	4	0					False	0					0.083	1077.75881006		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	5	0					False	1	right	217.94187822	15.5642877688	0.6	0.083	384.28592647	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	6	0					False	1	right	188.504500046	1.9814249285	0.6	0.083	468.935458615	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	7	0					False	0					0.083	1081.14806251		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	8	0					False	1	left	-179.346053849	15.667590896	0.6	0.083	384.450218291	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	practice	9	0					False	1	right	186.385775517	-18.8996810258	0.6	0.083	371.319707134	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	0	0					False	1	right	217.223141528	13.2085671574	0.6	0.083	314.847690839	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	1	1	sound	left			False	1	left	-187.984705729	-13.7559521622	0.6	0.083	691.590495277	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	2	0					False	1	left	-205.062151702	-19.2343547214	0.6	0.083	383.425227963	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	3	1	sound	left			False	1	left	-181.356428327	-3.68391906367	0.6	0.083	417.589494129	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	4	0					False	1	left	-220.578512522	-2.40810682606	0.6	0.083	502.995575502	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	5	0					False	0					0.083	1085.98697033		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	6	1	frame	right	200	0	False	1	right	217.222894078	18.4424612956	0.6	0.083	952.142303126	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	7	0					False	0					0.083	1085.31330049		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	8	1	frame	right	200	0	False	1	right	187.844790899	-8.71508369652	0.6	0.083	511.092449	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	9	1	frame	right	200	0	False	1	right	203.292904596	5.67035355085	0.6	0.083	472.425926564	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	10	1	frame	left	-200	0	False	1	left	-191.903745889	15.4979216529	0.6	0.083	336.048304729	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	11	1	sound	right			False	1	right	204.002926217	3.05291825935	0.6	0.083	619.332894479	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	12	0					False	1	right	190.772829091	20.1647234458	0.6	0.083	635.648026757	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	13	0					False	1	left	-192.648200011	7.25560776821	0.6	0.083	439.842602558	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	14	1	sound	left			False	1	left	-180.803019546	8.78523275364	0.6	0.083	436.36973729	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	15	0					False	1	left	-184.763538055	3.39356102859	0.6	0.083	517.210486069	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	16	1	sound	left			False	1	left	-218.464437694	20.4692619334	0.6	0.083	302.177416845	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	17	1	frame	left	-200	0	False	1	left	-192.550234105	-19.4299361902	0.6	0.083	462.662297767	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	18	1	frame	right	200	0	False	1	right	191.357793673	-0.214907858078	0.6	0.083	470.704162857	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	19	1	frame	right	200	0	False	1	right	213.264600042	-7.92011228511	0.6	0.083	359.650586484	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	20	1	frame	left	-200	0	False	1	left	-191.417484796	14.4930316312	0.6	0.083	364.13670695	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	21	1	sound	left			False	1	left	-178.788459272	-9.15425870214	0.6	0.083	464.377460477	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	22	1	frame	right	200	0	False	1	right	188.095054434	-23.7182048334	0.6	0.083	361.755575563	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	23	0					False	0					0.083	1085.43138523		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	24	1	frame	right	200	0	False	1	right	180.784962923	-9.53416360336	0.6	0.083	326.069409639	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	25	1	sound	right			False	0					0.083	1081.46417759		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	26	0					False	1	right	221.763506834	15.03102418	0.6	0.083	478.395807615	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	27	1	sound	right			False	1	right	219.974529192	-10.5456304328	0.6	0.083	390.163026634	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	28	0					False	1	left	-181.951703673	-23.7462471317	0.6	0.083	418.546640722	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	29	0					False	1	left	-178.543554862	-7.31774924873	0.6	0.083	441.411076128	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	30	1	frame	right	200	0	False	1	right	219.538962973	6.99521167807	0.6	0.083	372.321593924	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	31	1	sound	left			False	1	left	-201.793574737	-8.54487243714	0.6	0.083	349.141043436	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	32	1	sound	right			False	1	right	183.836307122	-19.1100135257	0.6	0.083	352.696788061	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	33	1	frame	right	200	0	False	1	right	215.66235446	-17.1825153167	0.6	0.083	496.278313294	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	34	0					False	1	left	-207.184275933	14.5811205224	0.6	0.083	389.043055096	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	35	0					False	1	left	-197.865290415	19.0429346056	0.6	0.083	405.248537238	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	36	0					False	1	left	-183.77270239	-15.3924038951	0.6	0.083	456.849740818	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	37	1	frame	right	200	0	False	1	right	189.948384032	0.913632539674	0.6	0.083	644.554991013	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	38	1	frame	left	-200	0	False	1	left	-202.792196159	8.24750449966	0.6	0.083	328.190901244	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	39	0					False	1	right	177.846234409	15.3092747052	0.6	0.083	398.220660791	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	40	1	sound	left			False	1	left	-220.063881245	8.84954175028	0.6	0.083	510.548599021	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	41	1	sound	right			False	1	right	213.002562218	-3.51135755288	0.6	0.083	299.790051184	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	42	0					False	0					0.083	1079.25393907		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	43	1	sound	left			False	1	left	-217.245761976	20.6842919044	0.6	0.083	293.135865315	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	44	1	frame	left	-200	0	False	1	left	-197.36794039	-2.93830247329	0.6	0.083	546.876529916	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	45	1	sound	left			False	1	left	-177.42430264	-15.8493617089	0.6	0.083	373.429830332	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	46	1	frame	left	-200	0	False	0					0.083	1079.86856654		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	47	0					False	1	left	-203.130478717	-12.3643314401	0.6	0.083	396.904492532	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	48	0					False	1	left	-188.416122715	-16.0283565451	0.6	0.083	511.956447997	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	49	0					False	1	left	-186.973821593	22.8863121832	0.6	0.083	477.46176456	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	50	1	frame	left	-200	0	False	1	left	-200.470580801	2.91757730985	0.6	0.083	402.953585712	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	51	1	frame	right	200	0	False	1	right	204.708016922	-20.4547276776	0.6	0.083	479.019603168	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	52	0					False	1	left	-207.033056103	8.34311423511	0.6	0.083	365.733784885	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	53	1	frame	left	-200	0	False	1	left	-203.909572408	-12.8934276479	0.6	0.083	309.76197854	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	54	0					False	1	left	-188.42963253	15.184374488	0.6	0.083	418.991842249	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	55	1	frame	right	200	0	False	1	right	199.307411447	-1.1225394561	0.6	0.083	388.569982635	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	56	1	frame	right	200	0	False	1	right	205.121267562	7.04023520118	0.6	0.083	387.0502832	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	57	1	sound	right			False	1	right	192.425641265	17.2234636724	0.6	0.083	435.912800633	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	58	1	frame	left	-200	0	False	1	left	-198.131974347	-21.2761942443	0.6	0.083	601.694626224	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	59	1	sound	left			False	1	left	-211.573327864	8.74909934633	0.6	0.083	528.144694166	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	60	1	frame	right	200	0	False	1	right	189.009977536	4.52984243119	0.6	0.083	244.468811143	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	61	1	sound	left			False	1	left	-189.643326733	21.4749609955	0.6	0.083	335.777296568	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	62	1	frame	left	-200	0	False	0					0.083	1081.39963438		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	63	1	frame	right	200	0	False	1	right	215.435719558	0.589504014399	0.6	0.083	286.534120809	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	64	1	frame	left	-200	0	False	0					0.083	1085.22565373		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	65	1	sound	right			False	0					0.083	1082.6204547		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	66	1	frame	right	200	0	False	1	right	176.751683444	3.87790878441	0.6	0.083	535.9771605	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	67	1	frame	right	200	0	False	1	right	190.78124257	1.02197158727	0.6	0.083	348.706476885	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	68	0					False	0					0.083	1082.10557584		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	69	0					False	1	right	179.186339481	-11.0156344644	0.6	0.083	477.824086716	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	70	1	frame	left	-200	0	False	1	left	-216.720062169	-12.8605132502	0.6	0.083	544.297368222	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	71	1	frame	left	-200	0	False	0					0.083	1086.09148636		nogo	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	72	1	frame	right	200	0	False	1	right	200.049198581	3.03764765695	0.6	0.083	269.152925262	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	73	1	sound	right			False	1	right	198.871374689	4.83803889875	0.6	0.083	583.429628634	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	74	1	sound	left			False	1	left	-206.022328113	-8.41593057744	0.6	0.083	282.407022009	 	go	1
SPC420	2015_Apr_24_1238	LL-George	wr	cueing_effect	75	0					False	1	right	187.422466978	3.49523129717	0.6	0.083	379.904322006	 	go	1
