subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	0	0					False	1	right	212.516165081	-0.0221601080763	0.6	0.083	793.705989607	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	1	0					False	1	right	179.894481614	-9.80006749128	0.6	0.083	470.070962096	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	2	0					False	1	right	208.448886567	-17.2325965672	0.6	0.083	334.490631241	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	3	0					False	1	right	189.732183504	-21.9292225448	0.6	0.083	370.716406964	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	4	0					False	1	left	-201.643009708	-7.82700121226	0.6	0.083	348.363765748	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	5	0					False	1	left	-187.190580302	22.7968311408	0.6	0.083	367.256064899	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	6	0					False	0					0.083	1086.10681049		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	7	0					False	1	right	189.840434068	-1.87083422286	0.6	0.083	312.91611772	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	8	0					False	1	left	-212.067776196	17.0548477515	0.6	0.083	380.517928163	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	practice	9	0					False	1	left	-207.047057191	22.8628239737	0.6	0.083	441.377462586	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	0	1	sound	right			False	0					0.083	1081.19963249		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	1	0					False	1	right	217.658621206	2.20217188531	0.6	0.083	384.580236161	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	2	1	frame	left	-200	0	False	0					0.083	1082.04610692		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	3	1	sound	right			False	1	right	215.268166603	0.855953130384	0.6	0.083	375.851729186	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	4	1	sound	left			False	1	left	-211.274621723	18.861720435	0.6	0.083	386.674282141	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	5	0					False	1	left	-211.342666468	-10.4650703974	0.6	0.083	402.931535849	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	6	0					False	1	left	-222.48035138	-4.76880465921	0.6	0.083	466.985083884	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	7	1	sound	right			False	1	right	181.754415358	4.77689033186	0.6	0.083	370.177653851	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	8	1	frame	left	-200	0	False	1	left	-186.284296533	13.165531626	0.6	0.083	914.968770696	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	9	1	sound	left			False	0					0.083	1087.58958499		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	10	1	sound	left			False	0					0.083	1076.73879457		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	11	0					False	1	right	198.796627121	-16.4288302376	0.6	0.083	374.921184499	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	12	1	sound	right			False	1	right	180.051339155	-21.1059817398	0.6	0.083	403.980484465	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	13	1	frame	right	200	0	False	1	right	221.299390125	16.6065015645	0.6	0.083	511.743310839	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	14	1	sound	right			False	1	right	211.304445936	16.1750553541	0.6	0.083	295.587133383	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	15	0					False	1	right	187.00380931	14.984654333	0.6	0.083	497.482556151	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	16	0					False	1	left	-203.352885412	3.27964643335	0.6	0.083	306.344548473	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	17	0					False	1	left	-193.755556591	-22.9994961052	0.6	0.083	361.815267475	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	18	0					False	1	left	-204.564554037	-3.45683947883	0.6	0.083	319.931781385	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	19	0					False	1	right	191.116426131	21.2290054321	0.6	0.083	272.80419576	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	20	0					False	0					0.083	1086.36158728		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	21	0					False	1	right	213.675356364	-2.46585218273	0.6	0.083	388.293429511	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	22	1	sound	right			False	1	right	221.576897308	10.3723411446	0.6	0.083	331.680707633	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	23	1	sound	left			False	1	left	-195.621338087	6.2010696078	0.6	0.083	318.533076905	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	24	1	sound	left			False	1	left	-219.72049915	-13.9245736162	0.6	0.083	415.134503739	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	25	1	sound	left			False	0					0.083	1088.54708308		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	26	1	frame	left	-200	0	False	1	left	-179.617218666	-16.7518935434	0.6	0.083	434.174727416	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	27	1	sound	right			False	1	right	203.474996335	18.8175160958	0.6	0.083	379.829966929	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	28	1	sound	right			False	1	right	213.050419354	4.81137975798	0.6	0.083	378.846798791	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	29	1	sound	left			False	1	left	-222.299662662	17.9674360031	0.6	0.083	363.147550728	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	30	1	sound	left			False	1	left	-191.746068347	-7.92810685862	0.6	0.083	403.156470973	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	31	1	sound	right			False	1	right	195.360982966	-6.8094424825	0.6	0.083	360.883760499	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	32	1	frame	right	200	0	False	1	right	219.428901891	-13.5977941936	0.6	0.083	303.639231017	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	33	1	sound	left			False	0					0.083	1080.39390901		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	34	1	sound	right			False	0					0.083	1088.16170925		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	35	0					False	1	right	204.135743122	-8.96171937084	0.6	0.083	495.425411267	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	36	1	frame	left	-200	0	False	1	left	-209.356301386	3.11526572706	0.6	0.083	395.869666012	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	37	0					False	1	right	195.203913697	5.80172493566	0.6	0.083	384.450281039	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	38	1	sound	right			False	1	right	205.839188279	-1.30078594361	0.6	0.083	423.510366818	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	39	1	sound	left			False	1	left	-208.908073433	21.6395428795	0.6	0.083	352.451102342	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	40	0					False	1	right	207.855774326	-13.1630352387	0.6	0.083	336.484563304	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	41	0					False	0					0.083	1088.00929273		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	42	1	sound	right			False	1	right	193.952172329	14.3153345928	0.6	0.083	370.149416616	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	43	1	sound	right			False	1	right	215.699080937	-12.7629700028	0.6	0.083	336.962028872	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	44	1	sound	right			False	1	right	193.638260764	15.5365563906	0.6	0.083	337.319807382	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	45	1	sound	right			False	1	right	206.311251657	-15.0578146637	0.6	0.083	303.516014246	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	46	1	frame	left	-200	0	False	1	left	-195.123665112	-7.11126113491	0.6	0.083	374.69496578	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	47	1	frame	left	-200	0	False	1	left	-179.051926211	21.4850990164	0.6	0.083	441.129424144	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	48	1	sound	left			False	0					0.083	1080.76355979		nogo	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	49	1	frame	right	200	0	False	1	right	194.648028038	2.21367386777	0.6	0.083	378.619296476	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	50	1	frame	right	200	0	False	1	right	182.915471979	-20.8870420493	0.6	0.083	369.906833395	 	go	1	0.1
SPC607	2015_May_07_0951	LL-Elaine	PME	cueing_effect	51	1	sound	right			False	1	right	177.502847628	19.6498761461	0.6	0.083	362.224386306	 	go	1	0.1
