subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	0	0					False	1	right	177.385915135	-12.7228891084	0.6	0.083	1093.94336525		nogo	0	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	1	0					False	1	left	-177.260171354	6.26596228457	0.6	0.083	319.692007644	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	2	0					False	1	left	-194.94244565	-16.5384795908	0.6	0.083	394.458960407	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	3	0					False	1	left	-220.15885273	9.40413836105	0.6	0.083	455.113040633	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	4	0					False	1	left	-199.08776106	-21.565267643	0.6	0.083	545.548658672	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	5	0					False	0					0.083	1082.22890897		nogo	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	6	0					False	1	right	204.995330788	20.65305612	0.6	0.083	673.288598773	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	7	0					False	0					0.083	1079.63202188		nogo	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	8	0					False	1	right	190.092755049	16.3768861092	0.6	0.083	447.732578337	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	practice	9	0					False	1	right	214.39432428	13.3094495026	0.6	0.083	769.643247753	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	0	0					False	1	right	213.818869736	11.2573786968	0.6	0.083	678.650429749	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	1	0					False	0					0.083	1086.42915938		nogo	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	2	0					False	1	right	206.847340553	-15.0008931929	0.6	0.083	410.595923197	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	3	0					False	1	right	177.051487723	-22.0042083681	0.6	0.083	543.935547292	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	4	0					False	1	left	-207.908557373	-11.3582853936	0.6	0.083	477.387391205	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	5	1	sound	right			False	1	right	213.536703029	-10.9342587316	0.6	0.083	418.661090254	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	6	0					False	1	right	191.868511449	-18.7020737241	0.6	0.083	428.467653357	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	7	0					False	1	right	197.792440447	-21.0053184246	0.6	0.083	414.518938356	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	8	0					False	1	right	197.688515931	-14.1719016561	0.6	0.083	322.873779194	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	9	0					False	0					0.083	1085.59628388		nogo	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	10	1	frame	right	200	0	False	1	right	213.264177219	-3.90739358407	0.6	0.083	598.510338226	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	11	1	frame	left	-200	0	False	1	left	-190.77728927	-19.1340464441	0.6	0.083	14.4341691048	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	12	0					False	1	left	-181.361173596	-0.647499756124	0.6	0.083	459.988637638	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	13	1	sound	left			False	1	left	-194.532450375	4.19547292242	0.6	0.083	154.751465045	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	14	1	frame	right	200	0	False	1	right	202.154340512	-12.2696141768	0.6	0.083	10.9123846923	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	15	0					False	1	right	183.68833	-19.5186159638	0.6	0.083	0.0	 	go	0	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	16	1	sound	right			False	1	right	191.739429192	12.5899421548	0.6	0.083	419.368020623	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	17	1	frame	left	-200	0	False	1	left	-209.029408471	1.64152033341	0.6	0.083	0.0	 	go	0	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	18	1	sound	right			False	1	right	196.446832624	-23.1510897491	0.6	0.083	335.882779793	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	19	0					False	1	left	-209.464421318	19.8045119226	0.6	0.083	546.319926347	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	20	1	frame	left	-200	0	False	1	left	-196.609677309	-11.8506435516	0.6	0.083	0.0	 	go	0	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	21	1	sound	left			False	1	left	-218.836610379	-19.5550524865	0.6	0.083	339.750035972	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	22	1	frame	left	-200	0	False	1	left	-218.986561388	4.59010706802	0.6	0.083	436.391278359	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	23	1	sound	right			False	1	right	215.450671413	-20.1293714025	0.6	0.083	358.368078727	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	24	1	sound	right			False	1	right	179.276485517	-19.0559554888	0.6	0.083	358.787245932	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	25	1	frame	right	200	0	False	1	right	187.497300542	16.8076050004	0.6	0.083	461.027002559	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	26	1	sound	right			False	1	right	193.813354764	15.8731329727	0.6	0.083	329.200279652	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	27	1	sound	left			False	1	left	-197.645285206	-8.54616238164	0.6	0.083	288.709117056	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	28	0					False	0					0.083	1086.5262502		nogo	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	29	1	frame	right	200	0	False	1	right	195.207459339	-22.9558290597	0.6	0.083	353.612967898	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	30	1	sound	right			False	1	right	198.675347216	21.1725933063	0.6	0.083	493.203837308	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	31	0					False	1	left	-179.35964162	8.85964615971	0.6	0.083	439.83156886	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	32	0					False	1	right	222.309967879	-2.69959279899	0.6	0.083	410.176366073	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	33	1	sound	left			False	1	left	-181.627709447	21.9188012648	0.6	0.083	285.372546074	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	34	0					False	1	right	216.7071877	6.73262272506	0.6	0.083	278.120758361	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	35	0					False	1	left	-195.496558959	19.4703444277	0.6	0.083	503.34651403	 	go	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	36	0					False	0					0.083	1081.69354471		nogo	1	0.1
SPC601	2015_May_07_0850	LL-Kramer	PME	cueing_effect	37	0					False	1	left	-197.204876451	17.9231774425	0.6	0.083	369.178693509	 	go	1	0.1
