subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	0	0					1	left	-185.283736876	-23.7678191218	1.0	2137.73861993		timeout	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	1	0					0					712.489204947	u	absent	1
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	2	0					1	right	176.460999567	8.65082906084	1.0	811.188631691	u	absent	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	3	0					0					820.115700364	y	present	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	4	0					1	left	-222.52910901	1.73471363298	1.0	583.358973265	y	present	1
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	5	0					0					270.766720176	u	absent	1
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	6	0					0					739.387393929	u	absent	1
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	7	0					0					654.332156759	u	absent	1
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	8	0					1	left	-179.431823957	16.6988479986	1.0	961.64290607	u	absent	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	9	0					1	right	208.030902777	18.9238162044	1.0	551.980930381	u	absent	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	0	0					0					799.935823772	u	absent	1
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	1	0					0					612.075727899	u	absent	1
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	2	0					1	right	213.910420569	9.77681329582	0.6	693.497868255	u	absent	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	3	0					1	right	190.665648361	2.66366728618	0.6	2131.14682538		timeout	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	4	0					1	left	-203.629323738	-23.5362712699	0.6	644.359935541	u	absent	0
SPC2_102	2015_Apr_10_1355	LL-George	PME	practice	5	0					0					610.854916275	u	absent	1
