subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	interval	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	131	0					0.1	1	right	216.695772276	4.26377666665	1.0	437.870733862	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	132	1	frame	right	200	0	0.1	1	right	212.524271208	13.0333093142	1.0	384.891385867	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	133	1	frame	left	-200	0	0.1	1	left	-196.777274072	-20.2117213017	1.0	344.743669906	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	134	1	frame	left	-200	0	0.1	1	left	-212.31646294	-4.67303468388	1.0	366.242796197	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	135	1	sound	right			0.1	1	right	188.604554584	-11.9815799303	1.0	1336.66623272		nogo	0
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	136	1	frame	left	-200	0	0.1	1	left	-203.359745215	-0.17904155319	1.0	354.251326149	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	137	1	frame	right	200	0	0.1	1	right	214.763759879	-1.59629631102	1.0	406.060461595	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	138	0					0.1	1	left	-178.088315176	22.0759273558	1.0	517.658254656	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	139	1	frame	right	200	0	0.1	1	right	190.280691617	17.9440776138	1.0	393.015030131	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	140	0					0.1	1	right	176.423442822	-23.1151798061	1.0	469.393128718	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	141	0					0.1	1	right	206.062943784	7.88165353835	1.0	406.46752395	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	142	1	frame	left	-200	0	0.1	1	left	-222.542043885	-0.678197312857	1.0	361.931969237	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	143	1	frame	right	200	0	0.1	1	right	178.665261611	9.67036107232	1.0	280.829380368	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	144	1	sound	right			0.1	1	right	219.771887374	13.7960672956	1.0	502.81294751	 	go	1
